Tipo	Autor	Genero	Editorial	Isbn	Titulo	Fecha	Publicación	Suscripción	Duración	Formato	Álbum
Libro	Abraham Stoker	Horror	Constable & Robinson	9700762394	Drácula 	26/05/97					
Libro	Dmitry Glukhovsky	Post-apocalíptico	Orionbooks	9785170596782	Metro 2033	01/01/10					
Libro	J.R.R. Tolkien	Fantasía heroica	George Allen & Unwin	8445070371	El hobbit 	21/09/37					
Libro	Frank Herbert	Ciencia ficción	Chilton Company	8470021818	DUNE	01/12/65					
Libro	George R.R. Martin	Novela fantástica	Gilgamesh	97900000000000000	Choque de reyes	01/04/03					
Libro	Andrzej Sapkowski	Fantasía	Alamut Ediciones	9788493283698	 El último deseo	01/01/93					
Libro	Graham McNeill	Ciencia ficción	The Black Library	9781665555780	False Gods	01/01/10					
Libro	Graham McNeill	Ciencia ficción	The Black Library	9781665555781	Fulgrim	01/01/11					
Libro	Graham McNeill	Ciencia ficción	The Black Library	9781665555782	Mechanicum	01/01/12					
Libro	Graham McNeill	Ciencia ficción	The Black Library	9781665555783	A Thousand Sons	01/01/13					
Libro	Graham McNeill	Ciencia ficción	The Black Library	9781665555784	The Outcast Dead	01/01/14					
Libro	Graham McNeill	Ciencia ficción	The Black Library	9781665555785	Kryptos	01/01/15					
Libro	H.P. Lovecraft	Horror	Weird tales	9781627555784	La llamada de Cthulhu	01/01/26					
Libro	Isaac Asimov	Ciencia ficción	Debolsillo	9781627512832	Bovedas De Acero	02/01/13					
Libro	Isaac Asimov	Ciencia ficción	Debolsillo	9781627512833	El Sol Desnudo	02/01/14					
Libro	Isaac Asimov	Ciencia ficción	Debolsillo	9781627512834	EL FIN DE LA ETERNIDAD	02/01/15					
Libro	Isaac Asimov	Ciencia ficción	Debolsillo	9781627512835	Los Robots Del Amanecer	02/01/26					
Libro	Isaac Asimov	Ciencia ficción	Emecé Editores	9781627512836	Los Robots Y El Imperio	03/01/13					
Libro	Joe Abercrombie	Fantasía	Alianza Editorial	9781627512837	Los héroes	03/01/14					
Libro	Joe Abercrombie	Fantasía	Alianza Editorial	9781627512838	Tierras rojas	03/01/15					
Libro	JRR Tolkien	Fantasía	Desconocido	9781627512839	El Señor de los Anillos	03/01/26					
Libro	Orson Scott Card	Ciencia ficción	Ediciones Byblos	9781627512840	El juego de Ender	04/01/13					
Libro	Orson Scott Card	Ciencia ficción	Ediciones Byblos	9781627512841	La voz de los muertos	04/01/14					
Libro	Orson Scott Card	Ciencia ficción	Ediciones Byblos	9781627512842	Ender el Xenocida	04/01/15					
Periódico	Unidad Editorial	Deporte			Cristiano ronaldo marca otro gol	05/05/16	5050	Marca			
Periódico	Unidad Editorial	Deporte			El lugo asciende a primera división	06/05/16	5051	Marca			
Periódico	Unidad Editorial	Deporte			Todo sobre fútbol y un poco sobre otras cosas	07/05/16	5052	Marca			
Periódico	Unidad Editorial	Deporte			El Málaga ficha a paco	08/05/16	5053	Marca			
Periódico	Unidad Editorial	Deporte			El barsa y el madrid se declaran en bancarrota	09/05/16	5054	Marca			
Revista	Condé nast publications	Tecnología			Apple demanda a Microsoft 	04/05/16	634	Wired			
Revista	Condé nast publications	Tecnología			Microsoft demanda a Google	05/05/16	635	Wired			
Revista	Condé nast publications	Tecnología			Google demanda a Apple	06/05/16	636	Wired			
Revista	Condé nast publications	Tecnología			Como los robots sustituirán a los humanos en diez años	07/05/16	637	Wired			
Periódico	Grupo Prisa	Noticias			Mariano Rajoy dice que “la culpa es del PSOE”	05/05/16	10534	El país			
Periódico	Grupo Prisa	Noticias			Pedro Sánchez dice que “la culpa es del PP”	06/05/16	10535	El país			
Periódico	Grupo Prisa	Noticias			Lugo abandona la zona Euro	07/05/16	10536	El país			
Periódico	Grupo Prisa	Noticias			El alcalde de Madrid se privatiza a si mismo	08/05/16	10537	El país			
